outppr,outpit,outpnm,outpdo,outpsx
"pH_carb   ","pH        ",   1,"x",1
"pH_carb   ","DisCO2    ",   2,"x",1
"pH_carb   ","pCO2water ",   3,"x",1
"pH_carb   ","DisHCO3   ",   4,"x",1
"pH_carb   ","DisCO3    ",   5,"x",1
"pH_carb   ","Satcal    ",   6,"x",1
"pH_carb   ","Satarg    ",   7,"x",1
"pH_carb   ","BOH4      ",   8,"x",1
"DynDepth  ","Depth     ",   1,"x",1
"DynSurf   ","Surf      ",   1,"x",1
"TotDepth  ","TotalDepth",   1,"x",1
"TotDepth  ","LocalDepth",   2,"x",1
"TotDepth  ","LocSedDept",   3,"x",1
"Emersion  ","SwEmersion",   1,"x",1
"Meteo     ","RadSW     ",   1,"x",1
"Meteo     ","VWind     ",   2,"x",1
"Meteo     ","WinDir    ",   3,"x",1
"Meteo     ","RelHumAir ",   4,"x",1
"Meteo     ","TempAir   ",   5,"x",1
"Meteo     ","PAtm      ",   6,"x",1
"Meteo     ","Cloud     ",   7,"x",1
"HeatBal   ","RadSN     ",   1,"x",1
"HeatBal   ","Psvap     ",   2,"x",1
"HeatBal   ","EmissAtm  ",   3,"x",1
"HeatBal   ","RadAN     ",   4,"x",1
"HeatBal   ","RadBR     ",   5,"x",1
"HeatBal   ","RadLat    ",   6,"x",1
"HeatBal   ","HtCond    ",   7,"x",1
"HeatBal   ","HtTot     ",   8,"x",1
"HeatBal   ","PvapWa    ",   9,"x",1
"HeatBal   ","VWinda    ",  10,"x",1
"HeatBal   ","Vevap     ",  11,"x",1
"HeatBal   ","RhoWater  ",  12,"x",1
"HeatBal   ","ModTemp   ",  13,"x",1
"HeatBal2  ","RadSN     ",   1,"x",1
"HeatBal2  ","Psvap     ",   2,"x",1
"HeatBal2  ","EmissAtm  ",   3,"x",1
"HeatBal2  ","RadAN     ",   4,"x",1
"HeatBal2  ","RadBR     ",   5,"x",1
"HeatBal2  ","RadLat    ",   6,"x",1
"HeatBal2  ","HtCond    ",   7,"x",1
"HeatBal2  ","HtTot2    ",   8,"x",1
"HeatBal2  ","PvapWa    ",   9,"x",1
"HeatBal2  ","VWinda    ",  10,"x",1
"HeatBal2  ","Vevap     ",  11,"x",1
"HeatBal2  ","RhoWater  ",  12,"x",1
"HeatBal2  ","ModTemp   ",  13,"x",1
"SelfCool  ","fSpeHeDis ",   1,"x",1
"MaxMacro  ","MaxEM01   ",   1,"x",1
"MaxMacro  ","MaxSM01   ",   2,"x",1
"MaxMacro  ","MaxEM02   ",   3,"x",1
"MaxMacro  ","MaxSM02   ",   4,"x",1
"MaxMacro  ","MaxEM03   ",   5,"x",1
"MaxMacro  ","MaxSM03   ",   6,"x",1
"MaxMacro  ","MaxEM04   ",   7,"x",1
"MaxMacro  ","MaxSM04   ",   8,"x",1
"MaxMacro  ","MaxEM05   ",   9,"x",1
"MaxMacro  ","MaxSM05   ",  10,"x",1
"Coverage  ","fcover    ",   1,"x",1
"Coverage  ","CoverEM01 ",   2,"x",1
"Coverage  ","CoverEM02 ",   3,"x",1
"Coverage  ","CoverEM03 ",   4,"x",1
"Coverage  ","CoverEM04 ",   5,"x",1
"Coverage  ","CoverEM05 ",   6,"x",1
"Coverage  ","IBotSeg   ",   7,"x",1
"Coverage  ","RadSurf   ",   8,"x",1
"DAYRAD    ","DayRadSurf",   1,"x",1
"DAYRAD    ","RadMaxHour",   2,"x",1
"DAYRAD    ","RadMaxDayA",   3,"x",1
"TempMode  ","Temp      ",   1,"x",1
"TempMode  ","SurTemp   ",   2,"x",1
"TempMode  ","NatTempp1 ",   3,"x",1
"Temperatur","RCHeat    ",   1,"x",1
"Temperatur","Temp      ",   2,"x",1
"Temperatur","SurTemp   ",   3,"x",1
"Temperatur","DelTrad   ",   4,"x",1
"VarSal    ","Salinity  ",   1,"x",1
"Salinchlor","RhoWater  ",   1,"x",1
"Salinchlor","Salinity  ",   2,"x",1
"Salinchlor","Cl        ",   3,"x",1
"Veloc     ","Velocity  ",   1,"x",1
"Veloc     ","FlowDir   ",   2,"x",1
"Veloc     ","FlowSeg   ",   3,"x",1
"Veloc     ","Veloc1    ",   4,"x",1
"Veloc     ","Veloc2    ",   5,"x",1
"Veloc     ","WSNoseg1  ",   6," ",1
"Veloc     ","WSNoseg2  ",   7," ",1
"Veloc     ","WSNoseg3  ",   8," ",1
"Veloc     ","WSNoseg4  ",   9," ",1
"ResTim    ","ResTim    ",   1,"x",1
"ResTim    ","WSNoseg5  ",   2," ",1
"VertDisp  ","VertDisp  ",   1,"x",0
"HorzDisper","HorzDisp  ",   1,"x",0
"HDisperVel","Ddir1     ",   1,"x",1
"HDisperVel","Ddir2     ",   2,"x",1
"HDisperVel","HorzDispV ",   3,"x",0
"HDisperAdd","HorzDispA ",   1,"x",0
"Age1      ","AgeTR1    ",   1,"x",1
"Age2      ","AgeTR2    ",   1,"x",1
"Age3      ","AgeTR3    ",   1,"x",1
"Age4      ","AgeTR4    ",   1,"x",1
"Age5      ","AgeTR5    ",   1,"x",1
"WFetch    ","FETCH     ",   1,"x",1
"WDepth    ","InitDepth ",   1,"x",1
"Chezy     ","CHEZY     ",   1,"x",1
"Wave      ","WaveHeight",   1,"x",1
"Wave      ","WaveLength",   2,"x",1
"Wave      ","WavePeriod",   3,"x",1
"CalTau    ","Tau       ",   1,"x",1
"CalTau    ","TauVELOC  ",   2,"x",1
"CalTau    ","TauWIND   ",   3,"x",1
"CalTau    ","CalVelTau ",   4,"x",1
"MACDIS01  ","FrBmSM01  ",   1,"x",1
"MACDIS01  ","BmLaySM01 ",   2,"x",1
"MACDIS01  ","HactSM01  ",   3,"x",1
"MACDIS01  ","ITopSeg01 ",   4,"x",1
"MACDIS02  ","FrBmSM02  ",   1,"x",1
"MACDIS02  ","BmLaySM02 ",   2,"x",1
"MACDIS02  ","HactSM02  ",   3,"x",1
"MACDIS02  ","ITopSeg02 ",   4,"x",1
"MACDIS03  ","FrBmSM03  ",   1,"x",1
"MACDIS03  ","BmLaySM03 ",   2,"x",1
"MACDIS03  ","HactSM03  ",   3,"x",1
"MACDIS03  ","ITopSeg03 ",   4,"x",1
"MACDIS04  ","FrBmSM04  ",   1,"x",1
"MACDIS04  ","BmLaySM04 ",   2,"x",1
"MACDIS04  ","HactSM04  ",   3,"x",1
"MACDIS04  ","ITopSeg04 ",   4,"x",1
"MACDIS05  ","FrBmSM05  ",   1,"x",1
"MACDIS05  ","BmLaySM05 ",   2,"x",1
"MACDIS05  ","HactSM05  ",   3,"x",1
"MACDIS05  ","ITopSeg05 ",   4,"x",1
"pH_simp   ","pH        ",   1,"x",1
"pH_simp   ","CO2       ",   2,"x",1
"SpecCarb  ","DisCO2    ",   1,"x",1
"SpecCarb  ","DisH2CO3  ",   2,"x",1
"SpecCarb  ","DisHCO3   ",   3,"x",1
"SpecCarb  ","DisCO3    ",   4,"x",1
"SpecCarb  ","FrCO2dis  ",   5,"x",1
"SpecCarb  ","FrH2CO3d  ",   6,"x",1
"SpecCarb  ","FrHCO3dis ",   7,"x",1
"SpecCarb  ","FrCO3dis  ",   8,"x",1
"EXTINABVLP","ExtVlPhBl ",   1,"x",1
"EXTINABVL ","ExtVlPhBl ",   1," ",1
"ExtPhDVL  ","ExtVlPhDyn",   1,"x",1
"Extinc_VLG","ExtVl     ",   1,"x",1
"Extinc_VLG","ExtVlISS  ",   2,"x",1
"Extinc_VLG","ExtVlOSS  ",   3,"x",1
"Extinc_VLG","ExtVlODS  ",   4,"x",1
"Extinc_VLG","ExtVlPhyt ",   5,"x",1
"Extinc_VLG","ExtVlFresh",   6,"x",1
"CalcRad   ","Rad       ",   1,"x",1
"CalcRad   ","RadBot    ",   2,"x",1
"CalcRad   ","atten     ",   3," ",1
"CalcRadDay","RadDay    ",   1,"x",1
"CalcRadDay","RadBotDay ",   2,"x",1
"CalcRadDay","atten     ",   3," ",1
"Daylength ","DayL      ",   1,"x",1
"Reflection","fRefl     ",   1,"x",1
"DepAve    ","BloomDepth",   1,"x",1
"DepAve    ","BlmDep_out",   2,"x",1
"vtrans    ","SwVTRANS  ",   1,"x",1
"vtrans    ","FRACTIME01",   2,"x",1
"vtrans    ","FRACTIME02",   3,"x",1
"vtrans    ","FRACTIME03",   4,"x",1
"vtrans    ","FRACTIME04",   5,"x",1
"vtrans    ","FRACTIME05",   6,"x",1
"vtrans    ","FRACTIME06",   7,"x",1
"vtrans    ","FRACTIME07",   8,"x",1
"vtrans    ","FRACTIME08",   9,"x",1
"vtrans    ","FRACTIME09",  10,"x",1
"vtrans    ","FRACTIME10",  11,"x",1
"vtrans    ","FRACTIME11",  12,"x",1
"vtrans    ","FRACTIME12",  13,"x",1
"vtrans    ","FRACTIME13",  14,"x",1
"vtrans    ","FRACTIME14",  15,"x",1
"vtrans    ","FRACTIME15",  16,"x",1
"vtrans    ","FRACTIME16",  17,"x",1
"vtrans    ","FRACTIME17",  18,"x",1
"vtrans    ","FRACTIME18",  19,"x",1
"vtrans    ","FRACTIME19",  20,"x",1
"vtrans    ","FRACTIME20",  21,"x",1
"vtrans    ","FRACTIME21",  22,"x",1
"vtrans    ","FRACTIME22",  23,"x",1
"vtrans    ","FRACTIME23",  24,"x",1
"vtrans    ","FRACTIME24",  25,"x",1
