stocfl,stocsu,stocsc
"dDumphcarb","ALKA      ",   0.00000
"dDumphcarb","TIC       ",   0.00000
"dDumEmersi","Continuity",   0.00000
"dTempHtfl ","NatTemp   ",   1.00000
"dTempHtfl2","NatTemp   ",   0.00000
"dModTemp  ","ModTemp   ",   1.00000
"dDumVarSal","FrCon     ",   0.00000
"dDumVarSal","FrFlow    ",   0.00000
"dDumVarSal","SalBnd    ",   0.00000
"dDumRestim","Continuity",   0.00000
"dDumVerDis","OXY       ",   0.00000
"dDumHorDis","OXY       ",   0.00000
"dDumHorDiV","Continuity",   0.00000
"dDumHorDiV","OXY       ",   0.00000
"dDumHorDiV","Salinity  ",   0.00000
"dDumHorDiV","FrCon     ",   0.00000
"dDumHorDiV","FrFlow    ",   0.00000
"dDumHorDiV","SalBnd    ",   0.00000
"dDumHorDiA","Continuity",   0.00000
"dDumHorDiA","OXY       ",   0.00000
"dDumHorDiA","Salinity  ",   0.00000
"dDumHorDiA","FrCon     ",   0.00000
"dDumHorDiA","FrFlow    ",   0.00000
"dDumHorDiA","SalBnd    ",   0.00000
"dDecTR1   ","dTR1      ",  -1.00000
"dDecTR2   ","dTR2      ",  -1.00000
"dDecTR3   ","dTR3      ",  -1.00000
"dDecTR4   ","dTR4      ",  -1.00000
"dDecTR5   ","dTR5      ",  -1.00000
"dDumSM01  ","SM01      ",   0.00000
"dDumSM02  ","SM02      ",   0.00000
"dDumSM03  ","SM03      ",   0.00000
"dDumSm04  ","SM04      ",   0.00000
"dDumSM05  ","SM05      ",   0.00000
"dDumphsimp","ALKA      ",   0.00000
"dDumphsimp","TIC       ",   0.00000
"dDumspcarb","TIC       ",   0.00000
"dEffTAlg  ","EffTFDIAT ",   1.00000
"dEffTAlg  ","EffTFFLAE ",   1.00000
"dEffTAlg  ","EffTGREEN ",   1.00000
"dEffTAlg  ","EffTAPHAN ",   1.00000
"dEffTAlg  ","EffTAPHNF ",   1.00000
"dEffTAlg  ","EffTMICRO ",   1.00000
"dEffTAlg  ","EffTOSCIL ",   1.00000
"dEffTAlg  ","EffTBLUEG ",   1.00000
"dEffTAlg  ","EffTMDIAT ",   1.00000
"dEffTAlg  ","EffTMFLAE ",   1.00000
"dEffTAlg  ","EffTDINOF ",   1.00000
"dEffTAlg  ","EffTDINOM ",   1.00000
"dEffTAlg  ","EffTPHAEO ",   1.00000
"dEffTAlg  ","EffTULVAS ",   1.00000
"dEffTAlg  ","EffTULVAF ",   1.00000
"dEffTAlg  ","EffTNODUL ",   1.00000
"dEffTAlg  ","EffTANABA ",   1.00000
"dEffTALG01","EffTALG01 ",   1.00000
"dEffTALG02","EffTALG02 ",   1.00000
"dEffTALG03","EffTALG03 ",   1.00000
"dEffTALG04","EffTALG04 ",   1.00000
"dEffTALG05","EffTALG05 ",   1.00000
"dEffTALG06","EffTALG06 ",   1.00000
"dEffTALG07","EffTALG07 ",   1.00000
"dEffTALG08","EffTALG08 ",   1.00000
"dEffTALG09","EffTALG09 ",   1.00000
"dEffTALG10","EffTALG10 ",   1.00000
"dEffTALG11","EffTALG11 ",   1.00000
"dEffTALG12","EffTALG12 ",   1.00000
"dEffTALG13","EffTALG13 ",   1.00000
"dEffTALG14","EffTALG14 ",   1.00000
"dEffTALG15","EffTALG15 ",   1.00000
"dEffTALG16","EffTALG16 ",   1.00000
"dEffTALG17","EffTALG17 ",   1.00000
"dEffTALG18","EffTALG18 ",   1.00000
"dEffTALG19","EffTALG19 ",   1.00000
"dEffTALG20","EffTALG20 ",   1.00000
"dEffTALG21","EffTALG21 ",   1.00000
"dEffTALG22","EffTALG22 ",   1.00000
"dEffTALG23","EffTALG23 ",   1.00000
"dEffTALG24","EffTALG24 ",   1.00000
"dEffTALG25","EffTALG25 ",   1.00000
"dEffTALG26","EffTALG26 ",   1.00000
"dEffTALG27","EffTALG27 ",   1.00000
"dEffTALG28","EffTALG28 ",   1.00000
"dEffTALG29","EffTALG29 ",   1.00000
"dEffTALG30","EffTALG30 ",   1.00000
"dCaut     ","OXY       ",  -2.67000
"dCaut     ","TIC       ",   1.00000
"dCaut     ","H2O       ",   1.50000
"dCaut     ","SUD       ",   0.01750
"dNaut     ","NH4       ",   1.00000
"dNaut     ","H+        ",  -0.07100
"dNaut     ","ALKA      ",   4.35700
"dPaut     ","PO4       ",   1.00000
"dPaut     ","H+        ",   0.03200
"dPaut     ","ALKA      ",  -1.96800
"dSIaut    ","SI        ",   1.00000
"dDetCMort ","POC1      ",   1.00000
"dDetCMort ","POS1      ",   0.01750
"dDetNMort ","PON1      ",   1.00000
"dDetPMort ","POP1      ",   1.00000
"dDetSiMort","Opal      ",   1.00000
"dOOCMort  ","POC2      ",   1.00000
"dOOCMort  ","POS2      ",   0.01750
"dOONMort  ","PON2      ",   1.00000
"dOOPMort  ","POP2      ",   1.00000
"dOOSiMort ","Opal      ",   1.00000
"dCUpt     ","TIC       ",  -1.00000
"dCUpt     ","H2O       ",  -1.50000
"dCUpt     ","SO4       ",  -0.01750
"dNH4Upt   ","NH4       ",  -1.00000
"dNH4Upt   ","H+        ",   0.07100
"dNH4Upt   ","ALKA      ",  -4.35700
"dNO3Upt   ","NO3       ",  -1.00000
"dNO3Upt   ","OXY       ",   4.57100
"dNO3Upt   ","H+        ",  -0.07100
"dNO3Upt   ","ALKA      ",   4.35700
"dNO3Upt   ","H2O       ",  -1.28600
"dPO4Upt   ","PO4       ",  -1.00000
"dPO4Upt   ","H+        ",  -0.03200
"dPO4Upt   ","ALKA      ",   1.96800
"dSIUpt    ","SI        ",  -1.00000
"dDetNUpt  ","PON1      ",  -1.00000
"dDetPUpt  ","POP1      ",  -1.00000
"dDetCUpt  ","POC1      ",  -1.00000
"dPrProdOxy","OXY       ",   2.67000
"dProdAlg  ","APHANFIX  ",   1.00000
"dProdAlg  ","APHANIZO  ",   1.00000
"dProdAlg  ","BLUEGRN   ",   1.00000
"dProdAlg  ","DINOFLAG  ",   1.00000
"dProdAlg  ","DINOMIX   ",   1.00000
"dProdAlg  ","FDIATOMS  ",   1.00000
"dProdAlg  ","FFLAGELA  ",   1.00000
"dProdAlg  ","GREENS    ",   1.00000
"dProdAlg  ","MDIATOMS  ",   1.00000
"dProdAlg  ","MFLAGELA  ",   1.00000
"dProdAlg  ","MICROCYS  ",   1.00000
"dProdAlg  ","OSCILAT   ",   1.00000
"dProdAlg  ","PHAEOCYS  ",   1.00000
"dProdAlg  ","UlvaF     ",   1.00000
"dProdAlg  ","UlvaS     ",   1.00000
"dProdAlg  ","NODULA    ",   1.00000
"dProdAlg  ","ANABAENA  ",   1.00000
