"Config:   ","DummyConfg","
"pH_carb   ",A,
"DynDepth  ",A,
"DynSurf   ",A,
"TotDepth  ",A,
"Emersion  ",A,
"Meteo     ",A,
"HeatBal   ",A,
"HeatBal2  ",A,
"SelfCool  ",A,
"MaxMacro  ",A,
"Coverage  ",A,
"DAYRAD    ",A,
"TempMode  ",A,
"Temperatur",A,
"VarSal    ",A,
"Salinchlor",A,
"Veloc     ",A,
"ResTim    ",A,
"VertDisp  ",A,
"HorzDisper",A,
"HDisperVel",A,
"HDisperAdd",A,
"Age1      ",A,
"Age2      ",A,
"Age3      ",A,
"Age4      ",A,
"Age5      ",A,
"WFetch    ",A,
"WDepth    ",A,
"Chezy     ",A,
"Wave      ",A,
"CalTau    ",A,
"MACDIS01  ",A,
"MACDIS02  ",A,
"MACDIS03  ",A,
"MACDIS04  ",A,
"MACDIS05  ",A,
"pH_simp   ",A,
"SpecCarb  ",A,
"EXTINABVLP",A,
"EXTINABVL ",A,
"ExtPhDVL  ",A,
"EXTINABUVP",A,
"EXTINABUV ",A,
"ExtPhDUV  ",A,
"ExtMacroVl",A,
"ExtMacroUV",A,
"Extinc_VLG",A,
"Extinc_UVG",A,
"CalcRad   ",A,
"CalcRadDay",A,
"CalcRadUV ",A,
"Daylength ",A,
"Reflection",A,
"DepAve    ",A,
"vtrans    ",A,
"EffMBlo_P ",A,
"EffMBlo   ",A,
"EffABlo_P ",A,
"EffABlo   ",A,
"BLOOM_P   ",A,
"BLOOM     ",A,
"Phy_Blo_P ",A,
"Phy_Blo   ",A,
"MakOOC    ",A,
"MakOOCS1  ",A,
"MakOOCS2  ",A,
"Phy_dyn   ",A,
"S1_Comp   ",A,
"S2_Comp   ",A,
"Compos    ",A,
"DMVolume  ",A,
"EColiMrt  ",A,
"FColiMrt  ",A,
"TColiMrt  ",A,
"EnCocMrt  ",A,
"SaturCO2  ",A,
"RearCO2   ",A,
"AdsPO4AAP ",A,
"DenSed_NO3",A,
"DenWat_NO3",A,
"Nitrif_NH4",A,
"SaturOXY  ",A,
"RearOXY   ",A,
"VAROXY    ",A,
"BMS1_DetC ",A,
"BMS2_DetC ",A,
"BMS1_DetN ",A,
"BMS2_DetN ",A,
"BMS1_DetP ",A,
"BMS2_DetP ",A,
"BMS1_DetSi",A,
"BMS2_DetSi",A,
"BMS1_OOC  ",A,
"BMS2_OOC  ",A,
"BMS1_OON  ",A,
"BMS2_OON  ",A,
"BMS1_OOP  ",A,
"BMS2_OOP  ",A,
"BMS1_OOSi ",A,
"BMS2_OOSi ",A,
"Deso_AAPS1",A,
"Deso_AAPS2",A,
"BODCOD    ",A,
"DBOD_TEWOR",A,
"DecFast   ",A,
"DecMedium ",A,
"DecSlow   ",A,
"DecRefr   ",A,
"DecDOC    ",A,
"DecPOC5   ",A,
"Vivianit  ",A,
"DisSi     ",A,
"SedOXYDem ",A,
"TF_Green  ",A,
"TF_Diat   ",A,
"DL_Green  ",A,
"DL_Diat   ",A,
"DL_DiatS1 ",A,
"NLGreen   ",A,
"NLDiat    ",A,
"Rad_Green ",A,
"Rad_Diat  ",A,
"Rad_DiatS1",A,
"GroMrt_Gre",A,
"GroMrt_Dia",A,
"GroMrt_DS1",A,
"PPrLim    ",A,
"NutUpt_Alg",A,
"NutRel_Alg",A,
"NRAlg_S1  ",A,
"OXYMin    ",A,
"CONSELAC  ",A,
"EBULCH4   ",A,
"SaturCH4  ",A,
"VolatCH4  ",A,
"SPECSUD   ",A,
"SPECSUDS1 ",A,
"SPECSUDS2 ",A,
"OXIDSUD   ",A,
"PRECSUL   ",A,
"OXIDCH4   ",A,
"SPECIRON  ",A,
"IRONOX    ",A,
"SULPHOX   ",A,
"IRONRED   ",A,
"PRIRON    ",A,
"CalVS_IM1 ",A,
"CalVS_IM2 ",A,
"CalVS_IM3 ",A,
"CalVS_POC1",A,
"CalVS_POC2",A,
"CalVS_POC3",A,
"CalVS_POC4",A,
"CalVS_Diat",A,
"CalVS_Gree",A,
"CalVSALG  ",A,
"CalVSALG01",A,
"CalVSALG02",A,
"CalVSALG03",A,
"CalVSALG04",A,
"CalVSALG05",A,
"CalVSALG06",A,
"CalVSALG07",A,
"CalVSALG08",A,
"CalVSALG09",A,
"CalVSALG10",A,
"CalVSALG11",A,
"CalVSALG12",A,
"CalVSALG13",A,
"CalVSALG14",A,
"CalVSALG15",A,
"CalVSALG16",A,
"CalVSALG17",A,
"CalVSALG18",A,
"CalVSALG19",A,
"CalVSALG20",A,
"CalVSALG21",A,
"CalVSALG22",A,
"CalVSALG23",A,
"CalVSALG24",A,
"CalVSALG25",A,
"CalVSALG26",A,
"CalVSALG27",A,
"CalVSALG28",A,
"CalVSALG29",A,
"CalVSALG30",A,
"Res_Pickup",A,
"Sed_IM1   ",A,
"Sed_IM2   ",A,
"Sed_IM3   ",A,
"SedDiat   ",A,
"Sed_Gre   ",A,
"SEDALG    ",A,
"SEDALG01  ",A,
"SEDALG02  ",A,
"SEDALG03  ",A,
"SEDALG04  ",A,
"SEDALG05  ",A,
"SEDALG06  ",A,
"SEDALG07  ",A,
"SEDALG08  ",A,
"SEDALG09  ",A,
"SEDALG10  ",A,
"SEDALG11  ",A,
"SEDALG12  ",A,
