fortid
"PHCARB    "
"DDEPTH    "
"DSURF     "
"TOTDEP    "
"EMERSI    "
"METEO     "
"HEATFL    "
"HDISS     "
"MAXMAC    "
"COVMAC    "
"DAYRAD    "
"TMODE     "
"TEMPER    "
"VARSAL    "
"SALCHL    "
"VELOC     "
"RESTIM    "
"STOX3D    "
"HDISP     "
"HDISPV    "
"HDISPA    "
"WATAGE    "
"INTPOL    "
"CALCHZ    "
"CALWAV    "
"CALTAU    "
"MACDIS    "
"SIMPH     "
"SPCARB    "
"EXTINA    "
"EXTINC    "
"CLCRAD    "
"DAYL      "
"REFL      "
"DEPAVE    "
"VTRANS    "
"EFFBLO    "
"EFFAVE    "
"D40BLO    "
"PHCOMB    "
"MAKPOC    "
"PHCOMP    "
"SEDCOM    "
"WKCOMP    "
"DMVOL     "
"BACMRT    "
"SATCO2    "
"REAR      "
"ADSPO4    "
"DENSED    "
"DENWAT    "
"NITRIF    "
"SATOXY    "
"VAROXY    "
"BOTMIN    "
"BODCOD    "
"DECBOD    "
"DECDET    "
"DECPC5    "
"VIVIAN    "
"DISSI     "
"SEDOX     "
"TFALG     "
"DLALG     "
"NLALG     "
"RADALG    "
"RDBALG    "
"PRIPRO    "
"SDPPRO    "
"PPRLIM    "
"NUTUPT    "
"NUTREL    "
"NRALGS    "
"OXYMIN    "
"CSELAC    "
"EBUCH4    "
"SATCH4    "
"SULFID    "
"SULFOX    "
"SULFPR    "
"METHOX    "
"SPECFE    "
"IRONOX    "
"SULPHO    "
"IRONRE    "
"PRIRON    "
"CALSED    "
"RESPUP    "
"SEDIM     "
"SEDCAR    "
"SEDSOD    "
"SSEDPH    "
"SEDNUT    "
"SOMSED    "
"SEDAAP    "
"RESDM     "
"BURIAL    "
"DIGGIN    "
"S12TRA    "
"RESANT    "
"S12TIM    "
"ADVTRA    "
"DSPTRA    "
"RFPART    "
"PARTMP    "
"TRASE2    "
"ULFIX     "
"CONSBL    "
"SWOXY     "
"TRCOEF    "
"VERVLU    "
"DEGMP     "
"SEDHM     "
"SEDOMV    "
"ATMDEP    "
"NH3FRE    "
"POSOXY    "
"SECCHI    "
"PTEWOR    "
"STREAR    "
"TRSOXY    "
"APATIT    "
"HARVES    "
"VEG2DN    "
"VBSTAT    "
"VBGRO     "
"VBMRT     "
"VEG3DX    "
"VBUPT     "
"VEG3DU    "
"RADMAC    "
"NPPS12    "
"MACNUT    "
"MACROP    "
"MAC3DU    "
"GRZMAC    "
"DEBGRZ    "
"DREDGE    "
"FLOCEQ    "
"ATTOUT    "
"CASCAD    "
"DECTRA    "
"CALTEM    "
"WLCWOC    "
"DLWQG2    "
"MPBNUT    "
"MPBTMP    "
"MPBLLM    "
"MPBNLM    "
"GEMMPB    "
"VBXS12    "
"VBXSUM    "
"PROPSG    "
"PRPAGG    "
"HETAGG    "
"SEDTYR    "
"SEDAGG    "
"SUMTYR    "
